video_id,filename,category,upload_date,source_type,creator_id,title,views_48h,watch_time_avg,share_count,score
vid101,trailer_action_2024_v1.mp4,trailers,2024-12-01,uploaded,studio001,"Epic Action Movie 2024",250000,180,5000,0.92
vid102,trailer_romance_2024_v1.mp4,trailers,2024-12-01,youtube,studio002,"Love Story Trailer",180000,165,3500,0.85
vid103,trailer_thriller_2024_v1.mp4,trailers,2024-11-30,uploaded,studio003,"Mystery Thriller",150000,190,2800,0.81
vid104,trailer_comedy_2024_v1.mp4,trailers,2024-11-30,youtube,studio004,"Comedy Blockbuster",140000,155,2500,0.78
vid105,trailer_scifi_2024_v1.mp4,trailers,2024-11-29,uploaded,studio005,"Sci-Fi Adventure",130000,200,2200,0.75
vid106,trailer_horror_2024_v1.mp4,trailers,2024-11-29,youtube,studio006,"Horror Night",120000,145,2000,0.72
vid107,trailer_drama_2024_v1.mp4,trailers,2024-11-28,uploaded,studio007,"Emotional Drama",110000,175,1800,0.69
vid108,trailer_animation_2024_v1.mp4,trailers,2024-11-28,youtube,studio008,"Animated Feature",100000,160,1600,0.66
vid109,trailer_documentary_2024_v1.mp4,trailers,2024-11-27,uploaded,studio009,"Documentary Film",90000,185,1400,0.63
vid110,trailer_musical_2024_v1.mp4,trailers,2024-11-27,youtube,studio010,"Musical Extravaganza",80000,150,1200,0.60
